order,contents,kind,manuscript
4.1.3.4,ab,misnhah,K
4.1.3.4.1,שני,word,K
4.1.3.4.2,קדרין,word,K
4.1.3.4.3,שהיו,word,K
4.1.3.4.4,מהלכין,word,K
4.1.3.4.5,זה,word,K
4.1.3.4.6,אחר,word,K
4.1.3.4.7,זה,word,K
4.1.3.4.8,ונתקל,word,K
4.1.3.4.9,הראשון,word,K
4.1.3.4.10,ונפל,word,K
4.1.3.4.11,ונתקל,word,K
4.1.3.4.12,השני,word,K
4.1.3.4.13,בראשון,word,K
4.1.3.4.14,הראשון,word,K
4.1.3.4.15,חייב,word,K
4.1.3.4.16,בנזקי,word,K
4.1.3.4.17,שני,word,K
4.1.3.5,ab,misnhah,K
4.1.3.5.1,זה,word,K
4.1.3.5.2,בא,word,K
4.1.3.5.3,בחביתו,word,K
4.1.3.5.4,וזה,word,K
4.1.3.5.5,בא,word,K
4.1.3.5.6,בקורתו,word,K
4.1.3.5.7,נשברה,word,K
4.1.3.5.8,כדו,word,K
4.1.3.5.9,של,word,K
4.1.3.5.10,זה,word,K
4.1.3.5.11,בקורתו,word,K
4.1.3.5.12,של,word,K
4.1.3.5.13,זה,word,K
4.1.3.5.14,פטור,word,K
4.1.3.5.15,שלזה,word,K
4.1.3.5.16,רשות,word,K
4.1.3.5.17,להלך,word,K
4.1.3.5.18,ולזה,word,K
4.1.3.5.19,רשות,word,K
4.1.3.5.20,להלך,word,K
4.1.3.5.21,היה,word,K
4.1.3.5.22,בעל,word,K
4.1.3.5.23,קורה,word,K
4.1.3.5.24,ראשון,word,K
4.1.3.5.25,ובעל,word,K
4.1.3.5.26,חבית,word,K
4.1.3.5.27,אחרון,word,K
4.1.3.5.28,נשברה,word,K
4.1.3.5.29,חבית,word,K
4.1.3.5.30,בקורה,word,K
4.1.3.5.31,פטור,word,K
4.1.3.5.32,בעל,word,K
4.1.3.5.33,הקורה,word,K
4.1.3.5.34,ואם,word,K
4.1.3.5.35,עמד,word,K
4.1.3.5.36,בעל,word,K
4.1.3.5.37,הקורה,word,K
4.1.3.5.38,חייב,word,K
4.1.3.5.39,ואם,word,K
4.1.3.5.40,אמר,word,K
4.1.3.5.41,לבעל,word,K
4.1.3.5.42,החבית,word,K
4.1.3.5.43,עמוד,word,K
4.1.3.5.44,פטור,word,K
4.1.3.5.45,היה,word,K
4.1.3.5.46,בעל,word,K
4.1.3.5.47,חבית,word,K
4.1.3.5.48,ראשון,word,K
4.1.3.5.49,ובעל,word,K
4.1.3.5.50,קורה,word,K
4.1.3.5.51,אחרון,word,K
4.1.3.5.52,נשברה,word,K
4.1.3.5.53,חבית,word,K
4.1.3.5.54,בקורה,word,K
4.1.3.5.55,חייב,word,K
4.1.3.5.56,ואם,word,K
4.1.3.5.57,עמד,word,K
4.1.3.5.58,בעל,word,K
4.1.3.5.59,חבית,word,K
4.1.3.5.60,פטור,word,K
4.1.3.5.61,ואם,word,K
4.1.3.5.62,אמר,word,K
4.1.3.5.63,לבעל,word,K
4.1.3.5.64,קורה,word,K
4.1.3.5.65,עמוד,word,K
4.1.3.5.66,חייב,word,K
